,tweetId,tweetText,tweetSentiment
55,1616026394240356352,🛡️ VE RI TAS 🛡️,neutral
56,1615805981723889665,Great work by Tesla Team! https://t.co/aTu71lNuCl,positive
57,1615777094281334784,Why did American media go from questioning the State and “speaking truth to power” to doing their bidding?,negative
58,1615753259972702208,The World Economic Forum should control the world,"economy
negative"
59,1615748582145150978,"Media want to control what you know, which is why citizen journalism is essential https://t.co/cVL6C1VZXm",positive
60,1615406697849442304,"The party is on!! 🚀 💫 ♥️
https://t.co/zoa3qmcXqC",positive
61,1615398789585731587,"Companies in general are missing the incredible opportunity that Twitter provides to reach customers. 

Just Tweet… https://t.co/XwnOT3QJeP",neutral
62,1615397502798409729,The Car Aquatic https://t.co/P7KYF8J8HF,neutral
63,1615194151737520128,"Trashing accounts that you hate will cause our algorithm to show you more of those accounts, as it is keying off of… https://t.co/008ZPnmeGM",negative
64,1614851530016067586,Kudos to the BBC for self-labelling its state affiliation,positive
65,1614794711449079808,And that’s how we will land on Mars https://t.co/iSAUrbA0tX,neutral
66,1614775803644116993,Falcon Heavy Ascends https://t.co/tXZBbuoyRr,positive
67,1614761844010528770,Instagram makes people depressed &amp; Twitter makes people angry. Which is better?,neutral
68,1614184244703793152,"Good assessment of our goal
https://t.co/13GpEZlu0Z",positive
69,1614121055022350336,deamplify means shadowban https://t.co/oCLSupDM3M,neutral
70,1614105828205760513,I wonder what would have happened in 2009 if the Fed had raised rates instead of lowering them 🤔 https://t.co/uDGUqg4GKq,neutral
71,1613995936585519104,"Twitter will publish tweet recommendation code &amp; make account/tweet status visible no later than next month.

Transparency builds trust.",neutral
72,1613932601882054658,virtue rises with the sun,positive
73,1613900363652009992,"Bookmark button moving to tweet details page, fixing image length crop &amp; other minor bug fixes next week",neutral
74,1613537584231362561,Starship launch attempt soon https://t.co/QBprVsAH7m,neutral
75,1613249758256328705,Some things that your party tells you are false and some things that the other party says are true,".

neutral"
76,1612699840571637760,All four orbital launch pads fully loaded with rockets for the first time! https://t.co/EXlB0p5vWN,positive
77,1612230045493248001,I hope that the people of Brazil are able to resolve matters peacefully,positive
78,1612213483625668608,(Chart by James Stephenson) https://t.co/rOHfjXGVmU,neutral.
79,1611932793130438656,"Easy swipe right/left to move between recommended vs followed tweets rolls out later this week.

First part of a mu… https://t.co/AGiPMijLK9",neutral
80,1611857881808375808,Plaid is sickkk https://t.co/OxBD8Zv7Xq,neutral
81,1611768674653982720,Thread on how safe Tesla cars are https://t.co/M3Hf3q4kh3,neutral
82,1611423667107549184,8 years later &amp; still no laws … 😢 https://t.co/9fjb24XvFG,sadness.
83,1611146457222086657,"If I dig my grave deep enough, maybe it comes out other side of Earth 🤔",neutral
84,1611144990348161026,Some habits are hard to break lol.  Maybe I should just get bulletproof shoes … https://t.co/8Ve7it6X0T,neutral
85,1611112185895473163,Ouch my feet!! https://t.co/4pqBY6rZDu,negative
86,1611035401225113600,Elon Musk should,"be a role model for young entrepreneurs

positive"
87,1611032877336236032,Sped up trip there &amp; back again https://t.co/h9z4vt7kER,neutral
88,1610945173466546176,Kevin McCarthy should be Speaker,"of the house

neutral"
89,1610454795177062401,"12 months ago, I was Person of the Year",neutral
90,1610434975270342656,Please comment on this matter https://t.co/Oip43FcVo2,neutral
91,1610421293060599808,"US govt agency demanded suspension of 250k accounts, including journalists &amp; Canadian officials! https://t.co/kcEMMCzF7d",negative
92,1610416059940495363,https://t.co/dJvUeO2P5t,positive
93,1610374789759205380,Another episode of The Twitter Files https://t.co/vYpYivK7hv,neutral
94,1609631955003518977,"Hope you’re having a great day 1 2023!

One thing’s for sure, it won’t be boring.",positive
95,1609254628113420290,Sometimes it’s just better to make pizza at home,neutral
96,1609109899233071104,"Twitter has a bookmark function accessible through share button on tweet. 

To read bookmarks, tap profile icon.

T… https://t.co/vrEqLL39xn",neutral
97,1608939190548598784,If you don’t think there’s at least a tiny chance you’re an NPC … you’re an NPC,neutral
98,1608922473839620096,"New Twitter navigation coming in Jan that allows swiping to side to switch between recommended &amp; followed tweets, t… https://t.co/1OKh6kQrRZ",neutral
99,1608828315581976576,https://t.co/v1rrSsdwdg,positive
100,1608735844478902274,Launch 61 of 2022. Congrats SpaceX! https://t.co/tnTPZqYTd6,positive
101,1608663342956302337,New Twitter will strive to optimize unregretted user-minutes,neutral
102,1608324539779551232,Significant backend server architecture changes rolled out. Twitter should feel faster.,neutral
103,1608188826291167242,https://t.co/RheEuBzGqj,positive
104,1608175680407191552,"New Twitter policy is to follow the science, which necessarily includes reasoned questioning of the science",neutral
105,1608145311347707905,They did it! https://t.co/XsHREKx02p,positive
106,1608118870107209728,Congratulations SpaceX Falcon team on 60 successful launches this year!! https://t.co/2MwHQuS8Ta,positive
107,1607997591870124032,I’m not brainwashed!! https://t.co/4kx61uu4yy,neutral
108,1607996451614822404,https://t.co/d4h33vq9HO,positive
109,1607869704588099587,Why is corporate journalism rushing to defend the state instead of the people? https://t.co/uqR0MwiqCx,negative
110,1607850458554449920,"“Don’t be the clown on the clown car!”

Too late haha",neutral
111,1607590239874211847,Some nights … https://t.co/BLAUsJr4wb,neutral
112,1607416119496945665,"Much more to The Twitter Files: Covid Editon than this introductory thread.

Follow-up piece to come next week, fea… https://t.co/LGjNzcdAoo",neutral
113,1607096125567414272,Merry Christmas &amp; Good Cheer to All! https://t.co/SupTpz4bLY,positive sentiment.
114,1606617504708976641,Fractal of Rube Goldberg machines …,"are a marvel

positive"
115,1606396336592498688,Twitter votes for the right haha https://t.co/hx2nVqGQue,neutral
116,1606213070354731008,Tweet impression count should,"not be the sole measure of success

neutral"
117,1606107465174503424,Tweets are read ~100 times more than they are liked,neutral
118,1605995925339398145,Congratulations Tesla Team!! https://t.co/GMYMtT2SMC,positive
119,1605962367505813504,"Is this true, @SenatorSinema and @SenatorTester? https://t.co/QF4kn4RkgH",neutral
120,1605957811162054656,"Twitter is rolling out View Count, so you can see how many times a tweet has been seen! This is normal for video.… https://t.co/7ZzyG6gcKh",positive
121,1605738005813084165,"One of many product improvements coming to financial Twitter! 

Nice work by Twitter team. https://t.co/CKLH8OtDDW",positive
122,1605736689090977794,".@SenSchumer &amp; @LeaderMcConnell, the public has spoken. 

They are overwhelmingly against this giant spending bill. https://t.co/2XTdPT9lQB",neutral
123,1605712434102030339,Sustainable cars powered by sustainable energy https://t.co/osKPYaspTf,positive
124,1605369839274831873,"Whether for or against, please let your elected representatives know what you think about this $1.7 trillion spendi… https://t.co/Q1cP2i8f9s",neutral
125,1605349852199936000,Should Congress approve the $1.7 trillion omnibus spending bill?,neutral
126,1605298927104053248,Yikes! https://t.co/Qr0KyPuOYf,negative
127,1605261864652390401,Newspapers just search the Internet and print it out – SJM,neutral
128,1605247858030317568,"Hear, hear!! https://t.co/LbvnmOGAVy",positive
129,1605219914813673473,Government paid Twitter millions of dollars to censor info from the public https://t.co/eSEwcZlGjt,negative
130,1605219196350222339,"Other social media companies too, not just Twitter https://t.co/vH2EnMr9Iw",neutral
131,1604999237099716609,"Stats on Twitter World Cup
https://t.co/y91SB99eKZ",neutral
132,1604650028999405568,Those who want power are the ones who least deserve it,".

negative"
133,1604633369626652672,Elvis is in the building https://t.co/dppDnK1WBt,neutral
134,1604623424164282368,"As the saying goes, be careful what you wish, as you might get it",".

neutral"
135,1604617643973124097,Should I step down as head of Twitter? I will abide by the results of this poll.,neutral
136,1604616863673208832,"Going forward, there will be a vote for major policy changes. My apologies. Won’t happen again.",neutral
137,1604537674878042112,"Duel in the Desert.
Couldn’t ask for a better game. Incredible play by 🇦🇷 &amp; 🇫🇷 !!!! https://t.co/XUZxjymAx0",neutral
138,1604531789686530048,3 - 3 WOW!!! https://t.co/asxw78EgPn,positive
139,1604520708570517504,"24,400 tweets per second for France’s goal, highest ever for World Cup!",positive
140,1604520419515662337,"Well done France! 🇫🇷🇫🇷🇫🇷
Evenly-matched game!! https://t.co/dH1CPRRno9",positive
141,1604508220206321667,"Super exciting World Cup!
🇦🇷 ahead 2-0 at halftime.
Can 🇫🇷 come back?",positive
142,1604498679234273286,Great goal by Argentina! 🇦🇷🇦🇷🇦🇷 https://t.co/WIs9ocfPcz,positive
143,1604490162976698368,At World Cup right now https://t.co/CG7zMMxSjE,positive
144,1604486844867133442,"Follow The World Cup on Twitter!
https://t.co/SaTzwDzBuR",positive
145,1604342060617695232,Hallelujah!! https://t.co/i2FyvXPIHO,positive
146,1604325372841136128,True creation eventually becomes independent of its creator. Evolution takes the original product far from its orig… https://t.co/rS8EOZ1ElI,neutral
147,1604234568814546945,Congrats to SpaceX Team on 3 perfect orbital launches within 36 hours!!!,positive
148,1604230165051195394,Live launch video https://t.co/9GtonaQiUw,neutral
149,1604014026035322880,https://t.co/94I61oMYFs,positive
150,1603985491505795072,Twitter will start incorporating mute &amp; block signals from Blue Verified (not Legacy Blue) as downvotes,"into the algorithm

neutral"
151,1603982891179839488,"The people have spoken.

Accounts who doxxed my location will have their suspension lifted now. https://t.co/MFdXbEQFCe",positive
152,1603902134181068800,Second launch today https://t.co/gUnyyUlZSi,neutral
153,1603874735917764608,Spaces is back,"with a bang

positive"
154,1603859750168301569,KABOOM 💥💥💥💥💥 https://t.co/TS3jFZ51VR,positive
155,1603853851504697344,So inspiring to see the newfound love of freedom of speech by the press 🥰,positive
156,1603852159283445760,"Meanwhile, Twitter usage (by real humans) once again reaches all-time highs",neutral
157,1603847698196492288,Great questions https://t.co/3HueYswz6o,positive
158,1603804175858429952,"And soon, ladies &amp; gentlemen, the coup de grâce",neutral
159,1603659604906213376,Twitter right now is 🔥🔥🔥🔥,positive
160,1603609466301059073,Unsuspend accounts who doxxed my exact location in real-time,negative
161,1603600001057185792,Unsuspend accounts who doxxed my exact location in real-time,negative
162,1603576251125362688,I love Barbara Streisand lol,positive
163,1603181423787380737,"Any account doxxing real-time location info of anyone will be suspended, as it is a physical safety violation. This… https://t.co/G44HBKjKdR",positive
164,1602952960039944194,Highly recommended reading https://t.co/EeACKwlr2w,positive
165,1602881020180586496,"You can play Cyberpunk, Elden Ring and 1000s of other games in your *car* with an epic sound system!! https://t.co/F25Qu6HJ63",positive
166,1602866614759608320,https://t.co/C943aHZwA1,positive
167,1602806063606075392,"At risk of stating obvious, beware of debt in turbulent macroeconomic conditions, especially when Fed keeps raising rates",neutral
168,1602803918790017025,"🇦🇷🇦🇷 Congrats Argentina!! 🇦🇷🇦🇷
 https://t.co/Ki1Mc4wQub",positive
169,1602572738669215744,The ratio of digital to biological compute is growing exponentially,neutral
170,1602472202619654144,Follow 🐰,"to the 🌈

neutral"
171,1602389340763586561,😛 https://t.co/X8Y1YEuS3C,positive
172,1602387025855885312,"Under pressure from hundreds of activist employees, Twitter deplatforms Trump, a sitting US President, even though… https://t.co/OEdUDiDECN",mixed sentiment.
173,1602307663970213890,The Branch Covidians are upset lol,neutral
174,1602278477234728960,The woke mind virus is either defeated or nothing else matters,neutral
175,1602027334751571968,"Calling all 🤖&amp; 🧌

Please attack me!",neutral
176,1602003366703296514,Hope you’re having a lovely Sunday! 😀,positive
177,1601894132573605888,My pronouns are Prosecute/Fauci,neutral
178,1601885190824943617,Now things get spicy 🌶️,positive
179,1601884478745374720,https://t.co/yhEOieaGER,positive
180,1601866862505381888,Twitter is speeding up,"its timeline

neutral"
181,1601861909736607744,Twitter was Wormtongue to the World,negative
182,1601859370739908608,"Saruman … your staff is broken.
https://t.co/JivXLgdejx",negative
183,1601851685915095040,The bots are in for a surprise tomorrow,neutral
184,1601812997088763904,Deplatforming the President (cont.) https://t.co/Q51Ala4SNz,neutral
185,1601668368737906688,https://t.co/80DdvpsNjM,positive
186,1601667312930590721,Twitter is both a social media company and a crime scene,neutral
187,1601624795585486848,🇲🇦🇲🇦 Congrats Morocco!! 🇲🇦🇲🇦,positive
188,1601395677845544960,"The Twitter Files, Part 3

Deplatforming the President https://t.co/nvdlRNYXxA",neutral
189,1601298737984249857,"If the Fed raises rates again next week, the recession will be greatly amplified",".

negative"
190,1601286540944343040,"Good for @SenatorSinema! I hope more of our elected leaders act independently, aka in the interests of the people.",positive
191,1601124219009409024,Twitter will soon start freeing the name space of 1.5 billion accounts,".

neutral"
192,1601082637694574592,Congrats on Game of Year! https://t.co/TMyHVbrZKW,positive sentiment.
193,1601070225906016258,Truth brings reconciliation,"and love

positive"
194,1601042125130371072,"Twitter is working on a software update that will show your true account status, so you know clearly if you’ve been… https://t.co/eTkCySLqYw",positive
195,1601020109807448064,"The Twitter Files, Part Deux!! 🍿🍿 https://t.co/bH9UiTSEK2",positive
196,1600902278927380480,X in beautiful San Francisco https://t.co/yM3LiGEpNL,positive
197,1600788394375753729,Woke v Woke https://t.co/hmhC5eelik,neutral
198,1600439088560996353,"Oh, you know, keeping busy … https://t.co/jgGYovK6jL",neutral
199,1600319218854940673,"Oh, what a tangled web they weave, when first they practice to …","deceive

negative"
200,1599840937298968576,So many interesting posts on Twitter these days!,positive
201,1599671964582391808,Starship takes beings of Earth to Mars https://t.co/6qaIc3p4yA,neutral
202,1599382943893319680,"The intelligence of this hive-mind will improve significantly as signal/noise, effective cross-linking of tweets &amp;… https://t.co/B6jdv5pW9P",neutral
203,1599325924431798272,Anything anyone says will be used against me in a court of law… https://t.co/vWhFLyhYUj,negative
204,1599261195470372866,"The more Twitter improves its signal to noise ratio, the less relevant conventional news becomes",neutral
205,1599259281584402432,Trees of thought https://t.co/wxeirrmG9E,neutral
206,1599258460121538560,Great work by Twitter Spaces team! https://t.co/L2mOCvXw5E,positive
207,1599228101547868160,Pretty wild that you can engage in back-and-forth dialogue with over 100k people live on Twitter Spaces!,positive
208,1599224347121500160,"I am not expressing an opinion, but did promise to conduct this poll.

Should Assange and Snowden be pardoned?",neutral
209,1599205091294052352,Just a note to thank advertisers for returning to Twitter,"!

positive"
210,1599158458615746561,SBF was bad at League. Nuff said.,negative
211,1598989666812071936,Twitter servers are running at Warp 9!! https://t.co/vtZZeKupC7,positive
212,1598864377750306816,Tune in for Episode 2 of The Twitter Files tomorrow!,positive
213,1598825403182874625,Here we go!! 🍿🍿 https://t.co/eILK9f3bAm,positive
214,1598778884639653891,What really happened with the Hunter Biden story suppression by Twitter will be published on Twitter at 5pm ET!,neutral
215,1598770563597606917,"Major Twitter system improvements were implemented this week to drop hammer hard on spam/scam accounts.

Taking jus… https://t.co/demKjOIKBB",positive
216,1598765633121898496,"Twitter is now serving almost 90 billion tweet impressions per day!

Just how incredibly alive the system actually… https://t.co/DwrZLAKOoz",positive
217,1598752139278532610,"Hate speech impressions (# of times tweet was viewed) continue to decline, despite significant user growth!… https://t.co/argDYV4hSV",positive
218,1598718904830132225,"You know Twitter is being fair when extremists on far right and far left are simultaneously upset!

Twitter aims to… https://t.co/JCHEIFTFwC",neutral
219,1598548365364498432,FAFO,neutral
220,1598482808020029441,Tesla Semi Truck launch in 5 mins! https://t.co/jG3s9wuVGb,positive
221,1598477759730581504,Going live on Twitter in ~20 mins https://t.co/JdeI5ItUw3,neutral
222,1598420481769512960,"🇯🇵🇯🇵 Congratulations Japan! 🇯🇵🇯🇵
https://t.co/WfqWIJMNGI",positive sentiment.
223,1598414428525199360,AI is getting really good https://t.co/OwQgDi4wun,neutral
224,1598381157124837376,"I meet so many people who read twitter every day, but almost never tweet.

If I may beg your indulgence, please add… https://t.co/1aaxJE9M4u",neutral
225,1598360883474108417,Lot of people stuck in a damn-that’s-crazy ChatGPT loop 🔁,neutral
226,1598337312446087168,"As a reminder, tap the stars icon on upper right of screen to switch between latest people you follow and recommended tweets",neutral
227,1598157971384463360,"Twitter is purging a lot of spam/scam accounts right now, so you may see your follower count drop",neutral
228,1598127347932090370,Exciting Neuralink update in 30 mins! https://t.co/5NYAyjP8mh,positive
229,1598050795882442752,Thanks @tim_cook for taking me around Apple’s beautiful HQ https://t.co/xjo4g306gR,positive
230,1597982424629383168,Update from @Neuralink at 6pm PT,"tonight

neutral"
231,1597829226572705793,Twitter core services latency reduced by ~400ms. Should feel noticeably faster.,positive
232,1597735092247736322,A little more progress to Mars https://t.co/TUjECUHaQ3,neutral
233,1597405399040217088,"This is a battle for the future of civilization. If free speech is lost even in America, tyranny is all that lies ahead.",positive
234,1597336812732575744,The Twitter Files on free speech suppression soon to be published on Twitter itself. The public deserves to know what really happened …,neutral
235,1597301968208556032,Did you know Apple puts a secret 30%  tax on everything you buy through their App Store? https://t.co/LGkPZ4EYcz,negative
236,1597300125243944961,"Apple has also threatened to withhold Twitter from its App Store, but won’t tell us why",neutral
237,1597295832759382016,Apple should publish all censorship actions it has taken that affect its customers,neutral
238,1597293917707587585,Accurate https://t.co/1PRfh67nWX,neutral
239,1597291218714906626,Who else has Apple censored? https://t.co/lZculFIkAX,neutral
240,1597285572699074560,Apple has mostly stopped advertising on Twitter. Do they hate free speech in America?,neutral
241,1597280496525844481,https://t.co/9LwcH7iUmy,positive
242,1597183438779342849,https://t.co/r22bMdErLi,negative
243,1597170780130852864,https://t.co/KZ7jeME3AX,negative
244,1597165510595989504,My bedside table https://t.co/sIdRYJcLTK,neutral
245,1597164398543777792,The amount of pro psy ops on Twitter is ridiculous! At least with new Verified they will pay $8 for the privilege haha.,neutral
246,1597032623020249088,Twitter experienced slight degradation of service today from an old 3rd party tool used to block accounts that had… https://t.co/r4bkf0azWa,negative
247,1596942103937921025,"Just a note to encourage people of different political or other views to engage in civil debate on Twitter. 

Worst… https://t.co/IZSyMYtCD8",neutral
248,1596718851097755648,Slides from my Twitter company talk https://t.co/8LLXrwylta,neutral
249,1596716236477698048,"Starry, starry night … https://t.co/IN3SeOH7f7",positive
250,1596704250880720898,"Tesla team just completed a 500 mile drive with a Tesla Semi weighing in at 81,000 lbs!",positive
251,1596621001693200385,Follow World Cup on Twitter for best real-time coverage! https://t.co/9IfFSHbjl3,positive
252,1596427779587080195,Simpson’s predicts I buy Twitter S26E12 https://t.co/yVmWGwrYY6,neutral
253,1596072934665240576,What do you think of the culture war?,neutral
254,1595956011210182656,Thanksgiving cuisine is such a delightful symphony of flavor!… https://t.co/b61TpqqT5s,positive
255,1595684143429550080,"You might notice small, sometimes major, improvements in speed of Twitter. Will be especially significant in countries far away from USA.",neutral
256,1595682322707267584,"Tesla Full Self-Driving Beta is now available to anyone in North America who requests it from the car screen, assum… https://t.co/omKNN1N6b6",positive
257,1595630109116989440,Hate speech impressions down by 1/3 from pre-spike levels. Congrats to Twitter team! https://t.co/5BWaQoIlip,positive
258,1595589549924970496,Have a great Thanksgiving! 🇺🇸♥️🇺🇸,positive
259,1595535360863395842,Awesome new Twitter merch! https://t.co/zqdL9xGRuR,positive
260,1595505413113323520,"World Cup traffic hit almost 20,000 tweets per second today! Great work by Twitter team managing record usage.",positive
261,1595473875847942146,"Should Twitter offer a general amnesty to suspended accounts, provided that they have not broken the law or engaged in egregious spam?",neutral
262,1595358165373112320,"More and more over time, as we hew closer to the truth, Twitter will earn the trust of the people","it serves.

positive"
263,1595339067452841984,What is best in life?,neutral
264,1595250835096621057,Found in closet at Twitter HQ fr 🤣🤣 https://t.co/3xSI3KvvHk,humorous.
265,1595207476936413187,Wasn’t Twitter supposed to die by now or something … ?,neutral
266,1594962397114023937,"Wait, if I Tweet does that count as work?",neutral
267,1594866036708462593,The Tactics of Mistake,neutral
268,1594865247323660290,"Twitter added 1.6M daily active users this past week, another all-time high https://t.co/Si3cRYnvyD",positive
269,1594861031670820864,"Holding off relaunch of Blue Verified until there is high confidence of stopping impersonation. 

Will probably use… https://t.co/aAkZU5Aj9F",neutral
270,1594835418117451776,Starlink now works for high latitudes https://t.co/Ngdh8CJbCJ,neutral
271,1594828625232113664,Tesla Megapacks are highly effective in addressing electricity demand spikes that cause power outages https://t.co/V4n5c4ZvNH,positive
272,1594788419120824321,Experience: what you get when you didn’t get what you wanted - Igor,"stravinsky

neutral"
273,1594773242626965505,Fanaticism is always a function of repressed doubt – Dune,negative
274,1594757734267764774,"Hope all judgy hall monitors stay on other platforms – please, I’m begging u",negative
275,1594751560147312641,Twitter is fun 🚀 💫 ♥️,positive
276,1594509880840388610,Our love will never die https://t.co/y5SldfAAt0,positive
277,1594500655724609536,And lead us not into temptation … https://t.co/8qNOXzwXS9,neutral
278,1594455929256349697,"World Cup Qatar 2022: Opening Ceremony
https://t.co/TjSSitY7fK",positive
279,1594339820792430601,World Cup starts soon! Follow on Twitter for best coverage by far.,positive
280,1594191387519373313,Twitter is ALIVE,"with chatter

positive"
281,1594131768298315777,"The people have spoken. 

Trump will be reinstated.

Vox Populi, Vox Dei. https://t.co/jmkhFuyfkv",positive
282,1594078009954570240,The most entertaining outcome is the most likely – my variant on Occam’s Razor,".

positive"
283,1593958104365993986,Fascinating to watch Twitter Trump poll!,positive
284,1593901355667582976,Tesla FSD 10.69.3.1 going to wide release now,"!

positive"
285,1593899029531803649,Just leaving Twitter HQ code review https://t.co/pYcXRTJm14,neutral
286,1593893237873201152,Trump poll getting ~1M votes/hour!,positive
287,1593767953706921985,Reinstate former President Trump,neutral
288,1593727662228283393,First World Cup match on Sunday! Watch on Twitter for best coverage &amp; real-time commentary.,positive
289,1593673339826212864,"New Twitter policy is freedom of speech, but not freedom of reach.

Negative/hate tweets will be max deboosted &amp; de… https://t.co/tZoc0Nkr9z",negative
290,1593670880676020224,Freedom Fridays …,"because who doesn't love a day off?

positive"
291,1593659832552153093,What should Twitter do next?,neutral
292,1593624195136487426,https://t.co/OjhQJvruTy,positive
293,1593494261038649344,https://t.co/JU073T756X,positive
294,1593459801966538755,https://t.co/rbwbsLA1ZG,negative
295,1593459039257563136,🏴‍☠️,neutral
296,1593455727611215872,And … we just hit another all-time high in Twitter usage lol,positive
297,1593415171149791232,"How do you make a small fortune in social media?

Start out with a large one.",neutral
298,1593264249731620864,Twitter is like open-sourcing the news,neutral
299,1593160857588232192,Coverage of FTX meltdown is incomparably faster *and* better quality on Twitter than old-school media,positive
300,1592658210917609472,Punting relaunch of Blue Verified to November 29th to make sure that it is rock solid,neutral
301,1592618665933156352,Welcoming back Ligma &amp; Johnson! https://t.co/LEhXV95Njj,neutral
302,1592447141720780803,Twitter is All the News,"that's fit to tweet

neutral"
303,1592254111088771072,Sìì! https://t.co/Gj1wHytJxk,positive
304,1592228299337760768,Recent trend is promising https://t.co/0q7UdxSkbM,positive
305,1591853644944932865,"Btw, I’d like to apologize for Twitter being super slow in many countries. App is doing &gt;1000 poorly batched RPCs j… https://t.co/GBcu3pBTIw",neutral
306,1591851391773200384,"Rolling out soon, Twitter will enable organizations to identify which other Twitter accounts are actually associated with them",neutral
307,1591842546216763399,Twitter feels increasingly alive,positive
